0	7.54	0.42
1	6.84	14.19
2	4.28	7.83
3	8.68	9.50
4	6.81	10.06
5	13.51	5.16
6	2.71	11.72
7	14.15	5.94
8	4.10	1.01
9	2.49	8.53
10	14.12	12.73
11	12.24	3.70
12	1.27	7.20
13	3.68	9.72
14	1.71	0.25
15	2.33	13.17
16	4.65	6.04
17	1.56	1.37
18	12.25	7.16
19	6.20	8.11
20	14.54	10.91
21	0.29	2.67
22	14.67	7.81
23	10.04	4.32
24	12.18	5.71
25	3.89	6.89
26	10.87	9.67
27	10.37	13.44
28	13.34	11.85
29	4.65	12.95
30	4.79	10.72
31	11.22	11.33
32	12.14	9.95
33	8.51	12.70
34	5.54	1.54
35	9.48	12.15
36	6.36	11.44
37	2.29	2.96
38	3.03	14.40
39	3.37	10.97
40	8.40	7.45
41	13.29	7.73
42	6.16	4.43
43	11.68	8.84
44	7.14	8.58
45	4.43	2.07
46	13.56	3.76
47	5.10	3.92
48	1.41	9.34
