0	5.03	11.33
1	22.72	5.77
2	40.75	3.79
3	51.63	1.96
4	68.12	3.38
5	82.81	5.26
6	90.72	5.34
7	4.68	22.88
8	17.30	24.33
9	38.01	15.43
10	54.78	16.12
11	62.31	15.63
12	75.44	27.52
13	87.47	28.24
14	12.79	33.23
15	18.47	28.76
16	37.32	36.39
17	51.19	41.63
18	64.62	35.57
19	81.60	42.23
20	96.47	36.81
21	8.69	48.02
22	18.66	45.05
23	35.34	57.08
24	49.96	46.05
25	63.28	43.09
26	82.22	46.31
27	95.52	52.23
28	1.35	59.14
29	17.18	70.73
30	32.95	68.04
31	50.61	69.05
32	71.13	63.00
33	74.96	66.96
34	96.65	60.48
35	4.85	73.86
36	27.87	83.42
37	39.22	82.96
38	46.43	79.13
39	61.24	80.56
40	84.90	76.72
41	94.57	71.51
42	12.86	88.08
43	27.77	90.48
44	40.14	95.41
45	50.84	95.58
46	69.99	99.99
47	77.05	96.04
48	96.84	89.79
